TREAD_DEPTH_GUID,NAME,CREATE_USERGUID,CREATE_DATE
838CBA9E-A4BC-4301-AD9C-0CA4D416A1EE,13/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
638CCF4A-7DCF-FE42-8AA4-0E4870C08956,Worn (<3.3 mm),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
E82F93F2-4DE0-D643-9C9D-0EBE5E326390,<3.2 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
8B95CD4A-E78A-7042-875F-103DF2C670BC,6/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
396D8C55-B190-DB43-9719-1F5F57433B2B,11/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
DA0470DA-11F5-0145-87E3-277A9632F25C,2/32" or Less,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
4A070663-9C48-4CB1-A442-2C144718ECEC,28/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
FCA9AC32-6D2B-46C8-90E9-2D55D0322B69,32/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
3B15EB91-DAE4-F148-9734-2ED4460B3CFA,0 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
4C8D43B3-446D-C64B-9F4A-2F2716673288,Worn (2/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
CF8810C9-238F-49CE-87C6-33A24CC90179,3/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
C0EAE61B-E7DF-5F44-AE6E-3462162067FE,1 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
D8C5BF2C-EF28-447D-911B-34D7725B1C99,25/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
8BE96D3A-F405-42C5-8358-3C0B36B758C3,23/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
33C00CA5-DDFA-4E50-91B8-3EA1A6179E84,29/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
71262CBD-6B11-4E84-AF70-40C7E55D1E1B,14/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
6A93DB14-4D47-44D6-80FA-424D7F0A552B,27/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
65488918-2234-46B9-817B-44BB675FEE22,17/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
5939D093-6EE7-0F41-95A7-459E94601354,7 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
8A68727E-D39B-A448-8A59-482CF03F6727,1/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
BF68F870-6F34-6146-8C22-490A21574F8D,3 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
7A2DAD20-73F0-4241-A77B-4E734E903451,20/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
D829C729-F9EE-CE40-8237-5704E2BA4D54,9 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
A6F6F9ED-943E-9A46-B681-5C32F9D4134D,5/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
E9987EC5-7D6F-ED42-BCE4-63ABEE5EC7BB,Replace (<3/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
36312AEA-F773-7341-9459-68802CAEAA76,<4/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
DD5DF8B7-336C-4359-A8F3-6A016F07F769,31/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
4E811E9E-6BE5-9747-8CD7-6A68C179F4FC,9/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
9ED1C3DD-DEBB-4B7D-979C-6C632AD60D54,26/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
5CF1F806-F7F8-46D1-97F5-7906351F23EC,2/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
A9630572-7FCE-4947-9C17-881D4D20CF01,Worn (0/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
53433AFF-61AB-9D41-8AA1-90F44A91A2A4,4/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
36950D8A-F76C-4BFA-9D06-937615D591CE,18/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
EBC31C17-CED6-DF4F-A049-93F4E7CCB31D,Worn (<4/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
47279DC1-8646-384B-A283-95D52AD7F332,New,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
E40E0E20-1D49-0647-8996-97CE465B24CA,12/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
59F1AFB4-3C0F-A345-A796-A99D3F0C9E5F,2 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
B0A278AE-69F3-8D46-B71E-AA2F7EFAD5EC,5 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
7F35B20D-F65A-41D4-83CC-B1002BE3F7C6,16/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
7B857970-9028-CE47-98B3-B13C64C0DD00,3/32" or Less,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
04E048C0-45B0-4A5C-9227-B27E67249958,30/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
6B52E322-0818-3743-9D55-CA207123AFE3,10 + mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
58ADF2D9-4672-A242-9357-CAB347DF0217,Uses (<4/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
1A448013-CD8B-D242-939F-CD4C69FE31B6,Worn (<3/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
AAC16A68-56C9-5F4A-AD8D-CFEB537A7C4D,7/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
74231FDE-E1DF-8243-9418-D1756D9BFD4B,10/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
62450B8A-E6AF-6C4C-9EBF-D49EEB58CEEC,Worn (1/32"),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
47184611-DC50-7347-BDA5-D5C4E3621A86,8 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
70978912-E31A-4CA7-8935-D60E6C5E1749,22/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
640103F4-6837-394A-83A8-D745C5C2BACD,6 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
8F84D6D3-7AE6-EC4D-85B2-DDE470EEB446,4 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
09A6E473-CF8E-8747-90AF-E3CAB0DC843B,10/32" +,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
4130AE6A-1ED3-F64C-9A5A-ED1B118B2CB7,Worn (<3.2 mm),455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
EF88706C-4708-4E90-9816-EFC38BF6AC4B,21/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
E94ED41E-1ADB-4EFF-8E5B-F03FE0F27A8A,24/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
16EFEF6C-EF79-48F4-8CDB-F37410CE85CB,19/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
177539E2-ACD0-A34F-9131-F430FF9439CC,8/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
6EA0922F-B08D-9843-8FD2-F4D07CE6B5CD,10 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
23620818-FB17-FD49-968A-F73AB6B3AA4A,3.2 mm,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
4F041243-7818-E84D-B62B-FBB903A5FD4D,0/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
E5F2E449-AB05-4916-AE9A-FF0E8CF725B4,15/32",455CD91D-2039-3C4B-BC75-2E39C514949E,2012-10-23 18:28:44
1090C56D-15DA-FE48-B40E-FFC639F6374C,Not Accessible,455CD91D-2039-3C4B-BC75-2E39C514949E,2011-04-06 15:31:10
